City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Aklavik,CA,68.2191,-135.0107,26.6,74,90,12.66,['light snow']
Bonga,ET,7.2833,36.2333,61.93,99,100,0.74,['heavy intensity rain']
Aswan,EG,24.0934,32.907,91.17,12,2,7.65,['clear sky']
Burgeo,CA,47.6167,-57.6152,41.07,91,100,13.06,['overcast clouds']
Salisbury,GB,51.0693,-1.7957,46.4,61,90,6.91,['overcast clouds']
Taoudenni,ML,22.6783,-3.9836,92.8,13,0,7.54,['clear sky']
Turinsk,RU,58.0458,63.696,55.65,61,89,3.56,['overcast clouds']
Marawi,PH,7.9986,124.2928,77.0,86,79,1.74,['broken clouds']
Fallon,US,39.4735,-118.7774,78.8,11,20,10.36,['few clouds']
Ramhormoz,IR,31.28,49.6035,81.09,23,0,4.03,['clear sky']
Maues,BR,-3.3836,-57.7186,80.31,77,100,0.65,['overcast clouds']
Lichinga,MZ,-13.3128,35.2406,50.38,88,90,6.06,['overcast clouds']
Mango,US,27.9797,-82.3065,82.99,32,1,13.8,['clear sky']
Vardo,NO,70.3705,31.1107,33.8,93,75,25.32,['light snow']
Saldanha,ZA,-33.0117,17.9442,57.2,88,4,3.44,['clear sky']
Solone,UA,48.2081,34.8721,57.2,62,0,6.71,['clear sky']
Sibu,MY,2.3,111.8167,77.0,94,40,3.44,['scattered clouds']
Ebolowa,CM,2.9,11.15,67.15,99,68,2.37,['broken clouds']
Asau,RO,46.4333,26.4,55.99,49,77,4.99,['light rain']
Port Augusta,AU,-32.5,137.7667,55.4,67,90,3.44,['overcast clouds']
