City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Targusor,RO,44.45,28.4167,57.2,94,0,8.05,['clear sky']
Ahipara,NZ,-35.1667,173.1667,64.09,81,100,12.53,['overcast clouds']
Papara,BR,-3.9839,-38.7273,82.0,78,20,3.44,['few clouds']
Baruun-Urt,MN,46.6806,113.2792,36.86,67,7,12.19,['clear sky']
Raymond,US,43.9015,-70.4703,57.99,41,81,1.01,['broken clouds']
Fandriana,MG,-20.2333,47.3833,57.54,97,95,2.82,['overcast clouds']
Kiruna,SE,67.8557,20.2251,26.6,93,90,9.22,['light snow']
Saskylakh,RU,71.9167,114.0833,26.78,91,100,13.49,['overcast clouds']
Camana,PE,-16.6228,-72.7111,67.78,82,21,6.51,['few clouds']
Srednekolymsk,RU,67.45,153.6833,25.97,92,99,4.54,['overcast clouds']
Saint-Leu,RE,-21.15,55.2833,71.6,64,20,10.36,['few clouds']
Iwanai,JP,42.9744,140.5089,51.85,92,100,5.57,['overcast clouds']
Kajaani,FI,64.2273,27.7285,32.0,80,90,5.75,['overcast clouds']
Baherden,TM,38.4362,57.4316,71.55,63,72,6.04,['broken clouds']
Lermontovka,RU,47.1453,134.3383,46.81,89,100,1.43,['overcast clouds']
Ayagoz,KZ,47.9714,80.4392,52.09,63,98,12.59,['overcast clouds']
Porto Novo,BJ,6.4965,2.6036,84.2,79,40,13.8,['scattered clouds']
Waddan,LY,29.1614,16.139,73.27,53,21,17.87,['few clouds']
Maun,BW,-19.9833,23.4167,68.0,49,0,5.75,['clear sky']
Topliceni,RO,45.4167,27.0,60.37,65,100,4.63,['overcast clouds']
Ballsh,AL,40.5989,19.7347,59.52,70,31,1.97,['scattered clouds']
Moyobamba,PE,-6.05,-76.9667,73.33,87,46,2.53,['scattered clouds']
Comodoro Rivadavia,AR,-45.8667,-67.5,59.0,58,0,5.75,['clear sky']
Bushehr,IR,28.9684,50.8385,84.2,42,0,13.8,['clear sky']
Grand Haven,US,43.0631,-86.2284,48.99,61,40,13.8,['scattered clouds']
Santa Fe,AR,-31.6333,-60.7,60.01,52,100,5.41,['overcast clouds']
Puerto Narino,CO,-3.7703,-70.3831,78.8,94,75,4.61,['moderate rain']
Byron Bay,AU,-28.65,153.6167,66.99,94,76,4.61,['broken clouds']
Ugoofaaru,MV,5.6667,73.0,84.92,70,36,4.97,['scattered clouds']
Muros,ES,42.7762,-9.0603,57.99,89,5,6.89,['clear sky']
Saint Marys,US,30.7305,-81.5465,79.0,19,1,18.41,['clear sky']
Mnogovershinnyy,RU,53.9353,139.9242,29.79,86,97,4.68,['overcast clouds']
Pujili,EC,-0.95,-78.6833,68.0,59,75,11.5,['light rain']
Salalah,OM,17.0151,54.0924,84.2,79,40,5.75,['scattered clouds']
Port Macquarie,AU,-31.4333,152.9167,63.0,99,30,1.99,['scattered clouds']
Adrar,MR,20.5022,-10.0711,88.03,10,3,6.06,['clear sky']
Margate,GB,51.3813,1.3862,46.0,63,99,1.01,['overcast clouds']
Goderich,CA,43.7501,-81.7165,51.8,46,96,8.05,['overcast clouds']
Staraya Kulatka,RU,52.7167,47.6167,51.78,86,100,3.87,['overcast clouds']
La Orilla,MX,17.9833,-102.2333,85.78,56,79,11.3,['broken clouds']
Muli,MV,2.9167,73.5667,84.76,72,97,6.2,['overcast clouds']
Xai-Xai,MZ,-25.0519,33.6442,64.04,85,1,3.78,['clear sky']
Seoul,KR,37.5683,126.9778,48.2,87,1,8.05,"['dust', 'mist']"
Kanniyakumari,IN,8.0833,77.5667,82.71,76,100,5.12,['overcast clouds']
Lavrentiya,RU,65.5833,-171.0,31.28,84,23,3.89,['few clouds']
Innisfail,AU,-17.5333,146.0333,67.69,80,54,3.27,['broken clouds']
Pathein,MM,16.7833,94.7333,83.84,68,98,6.69,['overcast clouds']
Vilhena,BR,-12.7406,-60.1458,75.2,60,0,6.91,['clear sky']
Yumen,CN,40.2833,97.2,60.03,6,5,2.33,['clear sky']
Phek,IN,25.6667,94.5,50.9,97,55,1.54,['broken clouds']
Pangnirtung,CA,66.1451,-65.7125,39.2,75,90,2.48,['overcast clouds']
Mackay,AU,-21.15,149.2,64.0,94,88,4.61,['overcast clouds']
Caravelas,BR,-17.7125,-39.2481,75.11,87,29,5.77,['scattered clouds']
Surgut,RU,61.25,73.4167,37.4,70,0,13.42,['clear sky']
Calabozo,VE,8.9242,-67.4293,83.14,66,98,3.4,['overcast clouds']
Indramayu,ID,-6.3264,108.32,79.39,81,99,3.78,['overcast clouds']
Stornoway,GB,58.2093,-6.3865,39.2,81,26,8.05,['scattered clouds']
Kruisfontein,ZA,-34.0033,24.7314,57.0,89,72,1.99,['light rain']
Hailar,CN,49.2,119.7,40.46,83,100,10.87,['overcast clouds']
Tarnogskiy Gorodok,RU,60.4997,43.5761,37.78,89,17,5.57,['few clouds']
Puerto Suarez,BO,-18.95,-57.8,64.4,82,90,5.75,['overcast clouds']
Shimoda,JP,34.6667,138.95,66.0,79,87,1.99,['overcast clouds']
Luba,GQ,3.4568,8.5547,77.0,88,40,2.3,['light rain']
Kysyl-Syr,RU,63.8986,122.7617,34.86,81,85,4.99,['overcast clouds']
Leningradskiy,RU,69.3833,178.4167,19.71,91,85,6.44,['overcast clouds']
Bassano,CA,50.7834,-112.4685,50.0,81,100,11.5,['overcast clouds']
Kijang,KR,35.2442,129.2139,48.2,66,0,5.75,['clear sky']
Carutapera,BR,-1.195,-46.02,77.18,88,46,6.33,['scattered clouds']
Tombouctou,ML,20.0,-3.0,90.66,10,0,9.13,['clear sky']
Khiri Mat,TH,16.8333,99.8,84.99,99,95,2.1,['overcast clouds']
Dorado,PR,18.4588,-66.2677,80.6,74,40,17.27,['scattered clouds']
Santa Isabel,BR,-23.3156,-46.2214,62.6,94,90,4.61,['overcast clouds']
Rincon,US,32.296,-81.2354,77.0,25,1,14.97,['clear sky']
Manta,EC,-0.95,-80.7333,78.8,78,75,10.36,['broken clouds']
Jaypur,IN,18.85,82.5833,76.73,65,99,0.56,['light rain']
Melfort,CA,52.8667,-104.6177,57.2,19,70,9.22,['broken clouds']
Mapiripan,CO,2.8892,-72.1256,79.11,88,85,2.71,['overcast clouds']
Hambantota,LK,6.1241,81.1185,77.0,100,85,2.3,['overcast clouds']
Wangkui,CN,46.8333,126.5,45.55,89,100,8.88,['light rain']
Devils Lake,US,48.1128,-98.8651,54.0,32,1,12.66,['clear sky']
Alofi,NU,-19.0595,-169.9187,78.8,83,98,24.16,['light rain']
Birao,CF,10.2849,22.7882,78.01,70,89,6.8,['overcast clouds']
Am Timan,TD,11.0297,20.2827,78.04,67,100,10.13,['overcast clouds']
Saint Michael,US,45.21,-93.665,57.99,26,75,9.44,['broken clouds']
Prachuap Khiri Khan,TH,12.2167,99.75,73.17,84,100,2.48,['light rain']
Guerrero Negro,MX,27.9769,-114.0611,68.09,56,4,16.62,['clear sky']
Lundazi,ZM,-12.2929,33.1782,55.27,74,42,6.38,['scattered clouds']
Udachnyy,RU,66.4167,112.4,33.85,84,100,6.85,['overcast clouds']
Saint-Paul,RE,-21.0096,55.2707,71.6,78,0,11.5,['clear sky']
Caninde,BR,-4.3589,-39.3117,73.56,92,25,1.81,['scattered clouds']
Coihaique,CL,-45.5752,-72.0662,39.2,87,0,3.44,['clear sky']
Centralia,US,46.7162,-122.9543,57.99,58,75,10.36,['broken clouds']
San Patricio,US,28.017,-97.5169,84.2,54,1,17.27,['clear sky']
Dong Xoai,VN,11.5333,106.9167,76.28,87,100,2.68,['overcast clouds']
Olafsvik,IS,64.8945,-23.7142,35.01,62,19,18.19,['few clouds']
Alice Springs,AU,-23.7,133.8833,60.8,39,40,4.61,['scattered clouds']
Yuzawa,JP,39.1667,140.5,57.2,88,75,9.22,['broken clouds']
Solnechnyy,RU,50.7214,136.6319,30.65,85,100,10.6,['snow']
Dwarka,IN,22.2394,68.9678,82.81,77,16,15.64,['few clouds']
Caucaia,BR,-3.7361,-38.6531,82.0,78,20,3.44,['few clouds']
Ballina,AU,-28.8667,153.5667,66.99,94,61,4.61,['broken clouds']
Englehart,CA,47.8169,-79.8664,50.0,57,90,12.66,['overcast clouds']
Huitziltepec,MX,17.8167,-99.4667,97.0,17,25,1.01,['scattered clouds']
Nyandoma,RU,61.669,40.1991,35.19,96,27,4.16,['scattered clouds']
Prainha,BR,-1.8,-53.48,77.7,87,99,3.06,['overcast clouds']
Mezen,RU,65.8522,44.24,37.9,93,100,3.11,['overcast clouds']
Roma,US,43.2128,-75.4557,57.2,44,90,11.5,['overcast clouds']
Gulf Gate Estates,US,27.2517,-82.5147,82.99,34,1,12.66,['clear sky']
Kavaratti,IN,10.5669,72.642,84.85,71,97,1.23,['overcast clouds']
Esil,KZ,51.9556,66.4042,54.43,38,76,6.35,['broken clouds']
Eureka,US,40.8021,-124.1637,59.0,58,40,19.57,['scattered clouds']
Kailua,US,21.4022,-157.7394,84.2,73,40,11.5,['light rain']
Sinnamary,GF,5.3833,-52.95,79.18,85,42,10.04,['scattered clouds']
Port Blair,IN,11.6667,92.75,82.53,74,100,6.2,['heavy intensity rain']
Yangambi,CD,0.8102,24.4336,69.28,95,84,0.43,['broken clouds']
Killarney,IE,52.05,-9.5167,43.29,94,100,17.87,['heavy intensity rain']
Sao Filipe,CV,14.8961,-24.4956,72.28,80,100,12.24,['overcast clouds']
Trincomalee,LK,8.5711,81.2335,82.83,73,80,5.12,['broken clouds']
Ligayan,PH,4.6533,119.4706,81.46,77,100,3.74,['overcast clouds']
Machaneng,BW,-23.1862,27.4886,63.68,53,1,8.21,['clear sky']
Encantado,BR,-29.2361,-51.8697,55.0,89,0,1.25,['clear sky']
Ostrovnoy,RU,68.0531,39.5131,32.11,84,8,11.65,['clear sky']
Darab,IR,28.7519,54.5444,70.95,49,16,1.61,['few clouds']
Krasnoselkup,RU,65.7,82.4667,28.51,93,32,6.64,['scattered clouds']
Kaitangata,NZ,-46.2817,169.8464,51.13,69,94,2.13,['overcast clouds']
Ust-Maya,RU,60.4167,134.5333,41.38,74,100,1.23,['overcast clouds']
Imeni Poliny Osipenko,RU,52.4201,136.4853,34.7,67,100,16.42,['overcast clouds']
Moen,NO,69.1304,18.6123,32.0,86,90,3.44,['light snow']
Beringovskiy,RU,63.05,179.3167,30.54,88,97,8.16,['overcast clouds']
Bosaso,SO,11.2842,49.1816,85.66,67,68,1.3,['broken clouds']
Witu,KE,-2.3889,40.4382,78.58,81,99,14.45,['overcast clouds']
Grindavik,IS,63.8424,-22.4338,37.4,87,75,11.5,['broken clouds']
Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,75,9.22,['broken clouds']
Faya,SA,18.3851,42.4509,69.8,32,40,3.44,['scattered clouds']
Hasaki,JP,35.7333,140.8333,60.01,100,20,3.44,['few clouds']
Paamiut,GL,61.994,-49.6678,33.98,90,12,11.45,['few clouds']
Majene,ID,-3.5403,118.9707,76.73,86,100,5.41,['moderate rain']
Alhama De Murcia,ES,37.851,-1.4251,70.0,52,1,3.0,['clear sky']
Aksarka,RU,66.5606,67.7975,24.46,90,97,8.37,['overcast clouds']
Ossora,RU,59.2353,163.0719,31.96,91,100,4.68,['overcast clouds']
Peniche,PT,39.3558,-9.3811,60.01,86,100,6.22,['overcast clouds']
Hirara,JP,24.8,125.2833,77.0,94,75,10.36,['broken clouds']
Langreo,ES,43.2957,-5.6842,59.0,72,20,3.44,['few clouds']
Ilave,PE,-16.0833,-69.6667,46.31,74,98,3.11,['light rain']
Ihosy,MG,-22.4,46.1167,59.85,90,70,7.9,['broken clouds']
Itapuranga,BR,-15.5622,-49.9486,70.95,62,3,2.17,['clear sky']
Marsa Matruh,EG,31.3525,27.2453,73.4,64,0,12.66,['clear sky']
Puerto Colombia,CO,10.9878,-74.9547,84.2,74,40,8.05,['scattered clouds']
Kamiiso,JP,41.8167,140.65,53.6,94,75,17.27,['broken clouds']
Mitsamiouli,KM,-11.3847,43.2844,79.68,73,76,17.38,['broken clouds']
Zanjan,IR,36.6736,48.4787,51.62,81,29,2.24,['scattered clouds']
Turukhansk,RU,65.8167,87.9833,33.58,87,99,6.04,['overcast clouds']
Yuanping,CN,38.7153,112.7575,57.69,19,14,0.76,['few clouds']
Lagoa,PT,39.05,-27.9833,60.71,85,80,16.96,['broken clouds']
Tiarei,PF,-17.5333,-149.3333,87.01,66,75,16.11,['broken clouds']
Kabanjahe,ID,3.1001,98.4908,78.8,94,40,2.3,['mist']
Mbandaka,CD,0.0487,18.2603,71.74,97,95,5.59,['light rain']
Geraldton,AU,-28.7667,114.6,57.2,82,0,10.36,['clear sky']
Portadown,GB,54.4241,-6.4412,42.8,75,0,6.91,['clear sky']
Karasburg,NA,-28.0167,18.75,54.97,62,0,8.52,['clear sky']
Almaznyy,RU,48.0448,40.045,51.8,82,0,7.14,['clear sky']
Tabou,CI,4.423,-7.3528,79.84,80,100,5.46,['overcast clouds']
Codrington,AU,-38.2667,141.9667,55.29,93,93,8.57,['overcast clouds']
Halifax,CA,44.6453,-63.5724,57.2,41,49,5.75,['scattered clouds']
Biak,ID,-0.9131,122.8766,76.35,85,100,3.22,['overcast clouds']
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,61.86,59,83,4.61,['broken clouds']
Clarence Town,AU,-32.5833,151.7833,64.0,100,11,8.05,['few clouds']
Praia,CV,14.9215,-23.5087,71.6,78,20,14.97,['few clouds']
Birsk,RU,55.4211,55.5428,52.92,66,100,4.0,['overcast clouds']
Sokoni,TZ,-6.4333,39.55,79.7,70,99,18.25,['overcast clouds']
Mokhsogollokh,RU,61.4681,128.9203,39.78,79,64,2.89,['broken clouds']
San Quintin,MX,30.4833,-115.95,63.7,67,11,15.55,['few clouds']
Sungaipenuh,ID,-2.0833,101.3833,64.56,96,91,2.93,['overcast clouds']
Taltal,CL,-25.4,-70.4833,63.82,77,68,5.28,['broken clouds']
Taksimo,RU,56.3444,114.8794,38.55,73,99,4.14,['overcast clouds']
Xinyu,CN,27.8043,114.9334,67.3,95,100,2.77,['moderate rain']
Krasnoyarskiy,RU,51.965,59.8967,53.62,56,100,6.31,['overcast clouds']
Yeppoon,AU,-23.1333,150.7333,64.4,77,0,2.86,['clear sky']
Vokhtoga,RU,58.8147,41.0461,38.66,85,4,5.35,['clear sky']
Toyooka,JP,35.5333,134.8333,62.6,67,20,8.05,['few clouds']
Belen,TR,36.4891,36.2233,68.0,83,0,14.97,['clear sky']
Padang,ID,-0.9492,100.3543,77.18,88,95,4.16,['overcast clouds']
High Rock,BS,26.6208,-78.2833,80.6,61,75,11.5,['broken clouds']
Moron,AR,-34.6534,-58.6198,59.0,57,3,4.52,['clear sky']
Dicabisagan,PH,17.0818,122.4157,79.09,87,49,1.41,['scattered clouds']
Dubrovka,RU,53.6907,33.5071,50.0,71,100,8.95,['overcast clouds']
Haines Junction,CA,60.7522,-137.5108,57.2,44,99,9.22,['overcast clouds']
Borovoy,RU,55.4333,86.0833,46.4,53,0,8.95,['clear sky']
Denpasar,ID,-8.65,115.2167,77.0,88,20,6.91,['few clouds']
Kaduy,RU,59.2,37.15,38.46,89,49,5.01,['scattered clouds']
Abu Dhabi,AE,24.4667,54.3667,82.4,78,0,5.75,['clear sky']
Sembe,CG,1.6481,14.5806,69.06,98,96,1.9,['overcast clouds']
Mazamari,PE,-11.3258,-74.5308,72.18,91,89,0.47,['overcast clouds']
Alamosa,US,37.4695,-105.87,69.8,23,20,26.46,['few clouds']
Urziceni,RO,44.7167,26.6333,66.99,77,0,5.97,['clear sky']
Sol-Iletsk,RU,51.1631,54.9918,54.54,58,97,6.67,['overcast clouds']
Sosnovo-Ozerskoye,RU,52.5249,111.5418,32.32,78,40,3.2,['scattered clouds']
Ratlam,IN,23.3167,75.0667,85.21,24,10,6.2,['clear sky']
Svetlogorsk,BY,52.6333,29.7333,44.73,97,93,6.42,['overcast clouds']
Acapulco,MX,16.8634,-99.8901,86.0,74,40,9.22,['scattered clouds']
Brasilia,BR,-15.7797,-47.9297,75.2,64,75,9.22,['broken clouds']
Lagos,NG,6.5833,3.75,80.6,89,20,2.3,['light rain']
Naze,JP,28.3667,129.4833,69.8,100,75,1.14,['light rain']
Hastings,GB,50.8552,0.5729,46.0,70,100,1.99,['overcast clouds']
Samut Songkhram,TH,13.4,99.9583,75.99,84,89,2.77,['overcast clouds']
La Reforma,MX,25.0833,-108.05,93.0,36,47,5.99,['scattered clouds']
Huehuetenango,GT,15.3197,-91.4708,71.6,60,40,6.91,['scattered clouds']
Naryan-Mar,RU,67.6713,53.087,32.99,86,100,13.87,['overcast clouds']
Santiago De Cao,PE,-7.9589,-79.2392,68.0,83,75,10.36,['broken clouds']
Ngunguru,NZ,-35.6167,174.5,64.0,89,100,8.99,['moderate rain']
Onega,RU,63.9061,38.1404,38.66,77,100,3.49,['overcast clouds']
Xuddur,SO,4.1213,43.8894,74.71,81,100,6.24,['overcast clouds']
Mucurapo,TT,10.6667,-61.5333,78.01,88,75,3.44,['broken clouds']
Rudnyy,KZ,52.9594,63.1206,53.67,36,59,3.8,['broken clouds']
Brewster,US,41.3973,-73.6171,59.0,51,1,13.8,['clear sky']
Pochutla,MX,15.7432,-96.4661,95.0,43,20,9.22,['few clouds']
Rebrikha,RU,53.0733,82.3408,46.24,56,46,5.73,['scattered clouds']
Sulangan,PH,11.1373,123.7228,82.18,78,100,9.51,['overcast clouds']
Takoradi,GH,4.8845,-1.7554,79.16,88,98,9.22,['moderate rain']
Puerto Rondon,CO,6.2805,-71.1,78.28,87,78,5.39,['broken clouds']
Birobidzhan,RU,48.8,132.95,39.04,96,100,7.29,['overcast clouds']
Morondava,MG,-20.2833,44.2833,71.38,77,3,7.74,['clear sky']
Bereda,ES,43.2686,-7.5406,48.99,93,67,3.0,['broken clouds']
Nuevo Casas Grandes,MX,30.4167,-107.9167,93.99,5,11,24.0,['few clouds']
Liku,ID,-0.7275,119.8922,73.67,93,100,1.54,['light rain']
Ranfurly,NZ,-45.1333,170.1,52.41,55,100,3.91,['overcast clouds']
West Bay,KY,19.3667,-81.4167,84.99,79,75,5.75,['broken clouds']
Santa Cruz,BO,-17.8,-63.1667,66.2,42,75,10.36,['broken clouds']
Benavente,ES,42.0025,-5.6783,51.8,76,0,3.44,['clear sky']
Kosa,RU,59.9445,54.9977,50.29,82,100,7.23,['overcast clouds']
Sterling,US,39.0062,-77.4286,54.0,82,90,9.22,['overcast clouds']
Beya,RU,53.0533,90.9139,48.25,86,100,8.68,['overcast clouds']
Yarovoye,RU,52.9273,78.58,50.92,48,43,5.88,['scattered clouds']
Noumea,NC,-22.2763,166.4572,80.6,57,0,8.05,['clear sky']
Hay River,CA,60.8156,-115.7999,60.8,25,100,17.27,['overcast clouds']
Pasni,PK,25.2631,63.471,82.72,78,97,10.42,['overcast clouds']
Karratha,AU,-20.7377,116.8463,76.06,62,29,8.81,['scattered clouds']
Chenzhou,CN,25.8,113.0333,71.13,99,100,1.63,['light rain']
Farias Brito,BR,-6.9306,-39.5656,80.6,74,20,4.61,['few clouds']
Takaka,NZ,-40.85,172.8,60.01,79,100,4.0,['overcast clouds']
Ucluelet,CA,48.9329,-125.5528,51.8,62,20,17.27,['few clouds']
Sistranda,NO,63.7256,8.834,37.4,87,40,11.5,['scattered clouds']
Astorga,BR,-23.2325,-51.6656,71.6,53,20,5.75,['few clouds']
Yaan,NG,7.3833,8.5667,77.22,79,37,4.0,['scattered clouds']
Saint George,US,37.1041,-113.5841,90.0,8,1,21.85,['clear sky']
Santiago,CL,-33.4569,-70.6483,66.99,55,75,3.44,['broken clouds']
Balabac,PH,7.9868,117.0645,80.71,78,100,5.19,['overcast clouds']
Zhigansk,RU,66.7697,123.3711,32.92,86,100,5.5,['overcast clouds']
Varnamo,SE,57.186,14.04,35.01,94,82,3.98,['broken clouds']
Severo-Yeniseyskiy,RU,60.3725,93.0408,30.2,98,97,3.83,['overcast clouds']
Katobu,ID,-4.9408,122.5276,73.08,95,99,1.45,['overcast clouds']
Soure,BR,-0.7167,-48.5233,80.13,80,9,8.21,['clear sky']
Zhanakorgan,KZ,43.9098,67.2495,70.18,37,14,3.29,['few clouds']
Pilar,BR,-9.5972,-35.9567,78.8,83,20,3.44,['few clouds']
Huejuquilla El Alto,MX,22.6,-103.8667,86.47,18,40,3.69,['scattered clouds']
Neyshabur,IR,36.2133,58.7958,66.72,56,87,3.44,['overcast clouds']
Sola,VU,-13.8833,167.55,84.2,79,75,6.91,['broken clouds']
Maceio,BR,-9.6658,-35.7353,78.8,83,20,3.44,['few clouds']
Honavar,IN,14.2833,74.45,80.64,83,100,2.57,['overcast clouds']
Nouakchott,MR,18.0858,-15.9785,69.8,78,0,16.11,['clear sky']
Krabi,TH,8.0726,98.9105,82.99,100,20,4.61,['mist']
Parit Buntar,MY,5.1267,100.4932,78.8,94,40,3.44,['scattered clouds']
Nouadhibou,MR,20.931,-17.0347,66.2,82,0,19.57,['sand']
Chemal,RU,51.4111,86.005,47.7,90,95,0.87,['overcast clouds']
Port Moresby,PG,-9.4431,147.1797,78.33,80,67,3.89,['broken clouds']
Palu,ID,-0.8917,119.8707,74.68,95,100,0.92,['moderate rain']
Isangel,VU,-19.55,169.2667,80.33,79,100,17.07,['overcast clouds']
Gamba,GA,-2.65,10.0,77.5,89,96,5.57,['light rain']
Barguzin,RU,53.6167,109.6167,34.56,70,3,0.83,['clear sky']
Umtata,ZA,-31.5889,28.7844,55.38,81,44,4.81,['light rain']
Khash,IR,28.2211,61.2158,70.36,43,32,4.52,['scattered clouds']
Lahaina,US,20.8783,-156.6825,84.2,48,40,21.85,['scattered clouds']
Narsaq,GL,60.9167,-46.05,36.01,78,93,5.95,['overcast clouds']
Yanacancha,PE,-10.2411,-76.6456,46.08,76,97,5.32,['overcast clouds']
Amot,NO,59.5714,7.9877,35.01,92,13,5.06,['few clouds']
Sidney,AU,-33.8679,151.2073,62.6,88,20,9.22,['few clouds']
Mugur-Aksy,RU,50.35,90.5,42.04,90,100,6.33,['overcast clouds']
Carson City,US,39.1638,-119.7674,73.0,14,1,13.8,['clear sky']
Jishou,CN,28.3167,109.7167,63.99,96,100,1.43,['overcast clouds']
Nha Trang,VN,12.25,109.1833,78.8,89,20,3.44,['few clouds']
Ndjole,GA,-0.1783,10.7649,73.4,98,98,1.79,['moderate rain']
Poanas,MX,25.7667,-103.6167,95.0,20,75,5.75,['broken clouds']
Neiafu,TO,-18.65,-173.9833,78.8,83,75,13.8,['broken clouds']
Nazare,BR,-13.035,-39.0144,72.75,91,19,2.39,['few clouds']
Paita,PE,-5.0892,-81.1144,72.0,73,11,17.92,['few clouds']
Balsta,SE,59.5671,17.5278,37.0,86,0,4.61,['clear sky']
Vondrozo,MG,-22.8167,47.2833,60.1,84,65,3.0,['broken clouds']
Itoman,JP,26.1247,127.6694,77.0,100,75,13.8,['broken clouds']
Arinos,BR,-15.9169,-46.1056,75.58,55,38,4.5,['scattered clouds']
Niamey,NE,13.5137,2.1098,96.8,23,39,3.44,['dust']
Butka,RU,56.7179,63.7866,50.38,54,19,5.66,['few clouds']
Maltahohe,NA,-24.8333,16.9833,60.39,23,0,7.38,['clear sky']
Kangaatsiaq,GL,68.3065,-53.4641,31.21,79,7,8.48,['clear sky']
Lincoln,US,40.8,-96.667,70.0,30,90,6.91,['overcast clouds']
Chifeng,CN,42.2683,118.9636,45.55,33,19,22.86,['few clouds']
Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,93,90,11.5,['overcast clouds']
Jalu,LY,29.0331,21.5482,94.1,7,2,8.39,['clear sky']
Hualmay,PE,-11.0964,-77.6139,68.88,77,22,11.32,['few clouds']
Cajnice,BA,43.5575,19.0711,46.0,100,90,14.97,['overcast clouds']
Pemba,MZ,-12.974,40.5178,71.6,83,75,8.05,['broken clouds']
Amga,RU,60.8953,131.9608,41.25,84,81,1.63,['light rain']
Markala,ML,13.7021,-6.0659,88.97,43,85,16.62,['overcast clouds']
Arman,RU,59.7,150.1667,38.7,59,24,3.31,['few clouds']
Madang,PG,-5.2246,145.7966,79.05,90,55,2.17,['broken clouds']
Cap Malheureux,MU,-19.9842,57.6142,71.01,84,0,8.43,['clear sky']
Ponnani,IN,10.767,75.9252,77.0,88,75,2.3,['mist']
Tete,MZ,-16.1564,33.5867,66.0,77,0,2.42,['clear sky']
Trairi,BR,-3.2778,-39.2689,77.74,82,16,6.69,['few clouds']
Diourbel,SN,14.6628,-16.3925,86.0,39,100,6.91,['overcast clouds']
Wajima,JP,37.4,136.9,59.41,84,44,20.85,['scattered clouds']
Puerto Escondido,MX,15.85,-97.0667,86.0,66,40,8.05,['scattered clouds']
Varena,LT,54.2167,24.5667,35.01,93,90,2.3,['fog']
Carballo,ES,43.213,-8.691,59.0,84,18,1.01,['few clouds']
Libenge,CD,3.65,18.6333,70.52,98,91,3.56,['overcast clouds']
San Carlos Del Zulia,VE,9.0,-71.9135,82.54,73,71,5.95,['broken clouds']
Guasdualito,VE,7.2424,-70.7324,84.2,70,51,4.61,['broken clouds']
Kanker,IN,20.2719,81.4931,80.78,56,80,4.03,['broken clouds']
Progreso,MX,21.2833,-89.6667,91.4,43,40,9.22,['scattered clouds']
Labuhan,ID,-6.8844,112.2051,76.23,87,100,7.27,['heavy intensity rain']
Juneau,US,58.3019,-134.4197,48.2,76,90,10.36,['light rain']
Lasa,IT,46.6166,10.7002,60.8,44,0,3.44,['clear sky']
Zhangye,CN,38.9342,100.4517,59.67,10,3,6.2,['clear sky']
Verkhnevilyuysk,RU,63.4453,120.3167,36.99,89,99,3.74,['overcast clouds']
Marjamaa,EE,58.9039,24.4306,35.01,93,78,1.01,['broken clouds']
Mandalgovi,MN,45.7625,106.2708,40.8,61,99,4.88,['overcast clouds']
Cairns,AU,-16.9167,145.7667,71.6,78,30,10.36,['scattered clouds']
Lata,PT,40.1629,-8.3327,60.01,92,83,1.21,['broken clouds']
Severobaykalsk,RU,55.65,109.3167,30.54,73,2,3.0,['clear sky']
Emerald,AU,-23.5333,148.1667,55.4,67,0,5.75,['clear sky']
Port Lincoln,AU,-34.7333,135.8667,59.81,88,30,7.58,['scattered clouds']
Medea,DZ,36.2642,2.7539,62.6,63,0,2.3,['clear sky']
Kabale,UG,-1.2486,29.9899,57.38,96,95,2.3,['overcast clouds']
Sept-Iles,CA,50.2001,-66.3821,39.99,87,100,4.61,['overcast clouds']
Romitan,UZ,39.9343,64.3814,64.4,68,0,6.91,['clear sky']
Skibbereen,IE,51.55,-9.2667,44.6,93,90,24.16,['moderate rain']
Coolum Beach,AU,-26.5333,153.1,68.0,86,30,5.01,['scattered clouds']
Moram,IN,17.8,76.4667,85.87,40,79,2.44,['broken clouds']
Chacabuco,AR,-34.6417,-60.4739,54.0,66,54,1.99,['broken clouds']
Agrij,RO,47.0667,23.1333,48.2,93,75,3.44,['broken clouds']
Dolores,AR,-36.3132,-57.6792,50.63,77,4,4.34,['clear sky']
Union,US,40.6334,-74.2663,61.0,58,1,9.22,['clear sky']
Haifa,IL,32.8156,34.9892,66.92,81,0,0.87,['clear sky']
Llata,PE,-9.4167,-76.7833,55.13,81,92,5.41,['overcast clouds']
Umm Kaddadah,SD,13.6017,26.6876,81.82,42,48,11.45,['scattered clouds']
Gayny,RU,60.3071,54.3241,50.5,79,100,7.25,['overcast clouds']
Lalganj,IN,25.8667,85.1833,71.6,68,40,9.22,['haze']
Quelimane,MZ,-17.8786,36.8883,68.0,94,0,2.3,['clear sky']
Rongcheng,CN,30.634,117.8517,67.64,90,100,2.35,['overcast clouds']
Hamilton,US,39.1834,-84.5333,60.8,51,40,12.66,['scattered clouds']
Ingham,US,42.6,-84.3833,55.4,41,75,17.27,['broken clouds']
Arica,CL,-18.475,-70.3042,66.2,72,90,11.5,['overcast clouds']
