City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Witu,KE,78.58,['overcast clouds'],-2.3889,40.4382,New City Guest House
486,Majene,ID,76.73,['moderate rain'],-3.5403,118.9707,Kost Putri RABBANI
487,Alhama De Murcia,ES,70.0,['clear sky'],37.851,-1.4251,Hotel Los Bartolos - Inicio Reservas
491,Hirara,JP,77.0,['broken clouds'],24.8,125.2833,Hotel Atoll Emerald Miyakojima
495,Itapuranga,BR,70.95,['clear sky'],-15.5622,-49.9486,Terraço Hotel
496,Marsa Matruh,EG,73.4,['clear sky'],31.3525,27.2453,Beau Site
497,Puerto Colombia,CO,84.2,['scattered clouds'],10.9878,-74.9547,Hotel El Emigrante
499,Mitsamiouli,KM,79.68,['broken clouds'],-11.3847,43.2844,Foyer ADM
504,Tiarei,PF,87.01,['broken clouds'],-17.5333,-149.3333,Le Rocher de Tahiti
505,Kabanjahe,ID,78.8,['mist'],3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
506,Mbandaka,CD,71.74,['light rain'],0.0487,18.2603,Guest House Epervier
511,Tabou,CI,79.84,['overcast clouds'],4.423,-7.3528,hotêl doufoulougou
514,Biak,ID,76.35,['overcast clouds'],-0.9131,122.8766,Penginapan Kim
517,Praia,CV,71.6,['few clouds'],14.9215,-23.5087,LT Aparthotel
519,Sokoni,TZ,79.7,['overcast clouds'],-6.4333,39.55,Ujamaa Beach Resort
531,Padang,ID,77.18,['overcast clouds'],-0.9492,100.3543,Mercure Padang
532,High Rock,BS,80.6,['broken clouds'],26.6208,-78.2833,Hideaway Bahamas Beach Club
534,Dicabisagan,PH,79.09,['scattered clouds'],17.0818,122.4157,Nancy Montanes Bernardo
538,Denpasar,ID,77.0,['few clouds'],-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
540,Abu Dhabi,AE,82.4,['clear sky'],24.4667,54.3667,Ramee Garden Hotel Apartments
542,Mazamari,PE,72.18,['overcast clouds'],-11.3258,-74.5308,Hospedaje Ratto
547,Ratlam,IN,85.21,['clear sky'],23.3167,75.0667,OYO 5973 Hotel Sagar Castle
549,Acapulco,MX,86.0,['scattered clouds'],16.8634,-99.8901,HS Hotsson Smart Acapulco
550,Brasilia,BR,75.2,['broken clouds'],-15.7797,-47.9297,Grand Mercure Brasilia Eixo Monumental
554,Samut Songkhram,TH,75.99,['overcast clouds'],13.4,99.9583,Amphawa Nanon Hotel & Spa
555,La Reforma,MX,93.0,['scattered clouds'],25.0833,-108.05,Arremar Angostura
556,Huehuetenango,GT,71.6,['scattered clouds'],15.3197,-91.4708,Hotel Premier
561,Xuddur,SO,74.71,['overcast clouds'],4.1213,43.8894,Banjanay Hotel
562,Mucurapo,TT,78.01,['broken clouds'],10.6667,-61.5333,Courtyard by Marriott Port of Spain
565,Pochutla,MX,95.0,['few clouds'],15.7432,-96.4661,Hotel Posada San Jose
567,Sulangan,PH,82.18,['overcast clouds'],11.1373,123.7228,Maia's Beach Resort
568,Takoradi,GH,79.16,['moderate rain'],4.8845,-1.7554,Raybow International Hotel
569,Puerto Rondon,CO,78.28,['broken clouds'],6.2805,-71.1,Urbanización Santa Clara
571,Morondava,MG,71.38,['clear sky'],-20.2833,44.2833,La Case Bambou
573,Nuevo Casas Grandes,MX,93.99,['few clouds'],30.4167,-107.9167,Hotel Villa Colonial
574,Liku,ID,73.67,['light rain'],-0.7275,119.8922,Kost Raisa & homestay
576,West Bay,KY,84.99,['broken clouds'],19.3667,-81.4167,Calypso Cove
583,Noumea,NC,80.6,['clear sky'],-22.2763,166.4572,Hôtel Le Lagon
